 ,HUC8,Fig2a_WetlandDensity,Fig2b_PercentNRemoval,Fig2c_NSurplus,Fig2d_EstNRemoval,,,,
389,4060107,0.385389555,0.503602522,3.610921,0.875695179,,,,
390,4070001,0.291529406,0.490449039,3.176241,0.754542572,,,,
391,4070002,0.382049979,0.499837163,3.207424,0.784856214,,,,
392,4070003,0.361926242,0.496809444,4.173456,1.012484468,,,,
393,4070004,0.119762331,0.388894778,3.956064,0.785132883,,,,
394,4070005,0.237016088,0.475125613,5.589515,1.289588885,,,,
395,4070006,0.226637549,0.468195071,7.910886,1.845691419,,,,
396,4070007,0.111055955,0.378026036,4.516632,0.838503086,,,,
397,4080101,0.20697084,0.462312447,13.819953,3.111357451,,,,
398,4080102,0.147709772,0.419876134,19.788499,4.174439612,,,,
399,4080103,0.055077169,0.235030595,48.518822,5.842279558,,,,
400,4080104,0.052308562,0.222366634,33.902819,3.773274021,,,,
401,4080201,0.205706649,0.451022795,13.197845,2.930965323,,,,
402,4080202,0.156393296,0.42175873,29.397056,6.082302661,,,,
403,4080203,0.12134223,0.396219085,21.579949,4.168720116,,,,
404,4080204,0.09516326,0.346679416,15.690045,2.628882497,,,,
405,4080205,0.115403879,0.377591085,26.960538,5.023356211,,,,
406,4080206,0.058536112,0.251741741,21.66484,2.683539064,,,,
407,4090001,0.087901462,0.333742288,27.571739,4.465600157,,,,
408,4090002,0.112147658,0.374254929,9.154873,1.723472095,,,,
409,4090003,0.083766479,0.315870037,20.704719,3.260881573,,,,
410,4090004,0.066642754,0.283633624,3.469652,0.494083406,,,,
411,4090005,0.144525975,0.409976086,14.520246,2.949555401,,,,
412,4100001,0.065898723,0.270200456,30.062556,3.9949973,,,,
413,4100002,0.081724522,0.313671612,25.936085,4.015171374,,,,
