"date","river","site_code","parameter","value","unit"
"2019-08-28","","CH-R1","DOC_mgl","2.33","mg/L"
"2019-08-28","","CH-R1","TDN_mgl","0.58","mg N/L"
"2019-08-28","","CH-R1","NO3_mgl","0.379","mg N/L"
"2019-08-28","","CH-R1","NH4_mgl","0.023","mg N/L"
"2019-08-28","","CH-R1","PO4_ugl","2.86","µg P/L"
"2019-08-28","","CH-R1","Si_mgl","0.3","mg SiO2/L"
"2019-09-04","","CH-R1","water_temp","69","°F"
"2019-09-04","","CH-R1","DO%","85.1","% Saturation"
"2019-09-04","","CH-R1","DO","7.66","mg/L"
"2019-09-04","","CH-R1","Sp. Cond.","117.4","µS/cm"
"2019-09-04","","CH-R1","pH","7.48",""
"2019-09-04","","CH-R1","DOC_mgl","2.49","mg/L"
"2019-09-04","","CH-R1","TDN_mgl","0.48","mg N/L"
"2019-09-04","","CH-R1","NO3_mgl","0.274","mg N/L"
"2019-09-04","","CH-R1","NH4_mgl","0.026","mg N/L"
"2019-09-04","","CH-R1","PO4_ugl","3.32","µg P/L"
"2019-09-04","","CH-R1","Si_mgl","0.3","mg SiO2/L"
"2019-09-11","","CH-R1","water_temp","67.7","°F"
"2019-09-11","","CH-R1","DO%","86","% Saturation"
"2019-09-11","","CH-R1","DO","7.85","mg/L"
"2019-09-11","","CH-R1","Sp. Cond.","117.8","µS/cm"
"2019-09-11","","CH-R1","pH","7.48",""
"2019-09-11","","CH-R1","DOC_mgl","2.31","mg/L"
"2019-09-11","","CH-R1","TDN_mgl","0.46","mg N/L"
"2019-09-11","","CH-R1","NO3_mgl","0.274","mg N/L"
"2019-09-11","","CH-R1","NH4_mgl","0.016","mg N/L"
"2019-09-11","","CH-R1","PO4_ugl","3.89","µg P/L"
"2019-09-11","","CH-R1","Si_mgl","0.3","mg SiO2/L"
"2019-09-18","","CH-R1","water_temp","63.2","°F"
"2019-09-18","","CH-R1","DO%","86","% Saturation"
"2019-09-18","","CH-R1","DO","8.25","mg/L"
"2019-09-18","","CH-R1","Sp. Cond.","117","µS/cm"
"2019-09-18","","CH-R1","pH","8.56",""
"2019-09-18","","CH-R1","DOC_mgl","2.41","mg/L"
"2019-09-18","","CH-R1","TDN_mgl","0.4","mg N/L"
"2019-09-18","","CH-R1","NO3_mgl","0.239","mg N/L"
"2019-09-18","","CH-R1","NH4_mgl","0.037","mg N/L"
"2019-09-18","","CH-R1","PO4_ugl","4.07","µg P/L"
"2019-09-18","","CH-R1","Si_mgl","0.39","mg SiO2/L"
"2019-09-25","","CH-R1","water_temp","63.2","°F"
"2019-09-25","","CH-R1","DO%","86.2","% Saturation"
"2019-09-25","","CH-R1","DO","8.28","mg/L"
"2019-09-25","","CH-R1","Sp. Cond.","119.3","µS/cm"
"2019-09-25","","CH-R1","pH","8.33",""
