Long,Lat,dataset,NO3
-72.48987633,42.44431744,WPP,0.026
-72.72939605,42.28135393,WPP,0.55
-72.27899479,42.2354613,WPP,0.256
-72.17965076,42.22337829,WPP,0.024
-72.10659989,42.26215141,WPP,0.154
-71.95196358,42.56670939,WPP,0.068
-71.8162291,42.58657345,WPP,0.235
-71.35216051,41.91786565,WPP,0.3
-71.75691548,42.52661784,WPP,0.266
-71.85617251,42.20291112,WPP,0.082
-71.73709013,42.09310671,WPP,0.04333333333333333
-72.19502942,42.62531983,WPP,0.04
-72.09714696,42.04216137,WPP,0.028
-71.86537248,42.32657968,WPP,0.1
-71.66947411,42.55308278,WPP,0.066
-71.92879763,42.10454751,WPP,0.038
-71.69757011,42.20836571,WPP,0.03
-72.02541007,42.07674201,WPP,1.16
-71.86605175,42.55979904,WPP,0.084
-72.18751776,42.05772637,WPP,0.036
-71.48301448,42.02755221,WPP,0.342
-72.40184008,42.61497981,WPP,0.064
-71.90260492,42.58213165,WPP,0.075
-71.9407684,42.67731084,WPP,0.03
-71.68941303,42.51052037,WPP,0.04
-72.2573654,42.64253866,WPP,0.02
-72.20669311,42.12335485,WPP,0.05
-72.23102678,42.55623608,WPP,0.102
-71.82995728,42.57871152,WPP,0.102
-71.9488559,42.16426655,WPP,0.092
-72.32696346,42.58178925,WPP,0.066
-71.8258417,42.23909491,WPP,0.218
-71.57910918,42.53192718,WPP,0.026
-72.10313327,42.13693403,WPP,0.048
-71.60542161,42.02932229,WPP,0.215
-71.8557513,42.23359373,WPP,0.226
-71.86334389,42.59040888,WPP,0.114
-71.33321453,41.89640012,WPP,0.842
-72.00414064,42.6674075,WPP,0.02
-71.72378538,42.47692289,WPP,0.3433333333333333
-71.86184525,42.1427144,WPP,0.332
-72.06454171,42.06151141,WPP,0.045
-72.13290955,42.65715091,WPP,0.02
-71.90277886,42.5334948,WPP,0.02
-71.99849063,42.1400961,WPP,0.03
-72.38454489,42.46470593,WPP,0.03590909090909091
-72.16158627,42.03481475,WPP,0.05335
-71.79434419,42.01994053,WPP,0.02
-72.97439535,42.63256876,WPP,0.10084615384615384
-72.94935172,42.16782704,WPP,0.04818181818181819
-71.79151291,42.07471082,WPP,0.02
-72.40559074,42.0627483,WPP,0.1442857142857143
-71.83775116,42.38381603,WPP,0.10436842105263158
-71.30148697,42.63595037,WPP,0.7678571428571429
-72.88420012,42.54141177,WPP,0.166
-72.73352769,42.67416852,WPP,0.098
-73.30161974,42.45191218,WPP,0.04
-72.88766468,42.40624326,WPP,0.17
-72.8853956,42.23747744,WPP,0.058
-72.61591962,42.59824776,WPP,0.1375
-73.21962782,42.25259045,WPP,0.08600000000000001
-73.01699669,42.04759931,WPP,0.174
-72.93808435,42.63919882,WPP,0.13
-73.28034588,42.24776313,WPP,0.045625
-72.80105071,42.51152705,WPP,0.258
-73.0114712,42.30598204,WPP,0.06
-72.71945734,42.73205357,WPP,0.052
-73.31275339,42.54503215,WPP,0.47
-72.9736829,42.16952122,WPP,0.06
-73.1412082,42.47391986,WPP,0.17
-73.12792409,42.15946034,WPP,0.098
-72.69870678,42.50830194,WPP,0.202
-73.10371096,42.66954163,WPP,0.656
-72.9795908,42.40226973,WPP,0.03333333333333333
-72.61264226,42.6732761,WPP,0.33799999999999997
-72.80864416,42.09976917,WPP,0.356
-73.20019809,42.70289803,WPP,0.198
-73.27397995,42.27211249,WPP,0.15333333333333335
-73.23231291,42.11380288,WPP,0.02
-73.10381096,42.66112647,WPP,0.716
-73.01460875,42.55160608,WPP,0.08666666666666667
-72.878683,42.26068784,WPP,0.024
-72.81255079,42.3820888,WPP,0.034
-73.35414315,42.3572088,WPP,0.155
-72.87827159,42.45247321,WPP,0.088
-73.11391881,42.24539082,WPP,0.07
-72.64485764,42.62826823,WPP,0.29333333333333333
-72.72793165,42.08621595,WPP,1.19
-72.72437309,42.63908097,WPP,0.09666666666666666
-73.20166842,42.65789498,WPP,0.406
-72.55825658,42.55506751,WPP,0.114
-73.48299,42.10614,WPP,0.12777777777777777
-73.25737865,42.38348515,WPP,0.06
-72.6693994,42.71492884,WPP,0.10058823529411764
-73.02774999,42.32000999,WPP,0.05311111111111111
-71.6301536,42.04638466,WPP,0.10294117647058824
-72.95887989,42.70347188,WPP,0.1006470588235294
-72.22718449,42.69539254,WPP,0.027
-72.81341348,42.15510819,WPP,0.078
-72.7334767,42.12010243,WPP,0.164
-73.25940756,42.38648751,WPP,0.09655555555555556
-73.22431951,42.62731387,WPP,0.1
-70.72215618,42.00395502,WPP,0.02
-70.73007,41.99860448,WPP,0.03
-70.72579815,41.99977266,WPP,0.03
-70.72311164,41.99609561,WPP,0.55
-70.70786751,41.98783357,WPP,0.48
-70.72218147,41.9979183,WPP,0.04
-70.72120689,41.99717794,WPP,0.26
-70.69885818,41.98654008,WPP,0.41
-72.36869256,42.44207131,WPP,0.084
-72.31183457,42.09324205,WPP,0.228
-71.09399859,41.90037801,WPP,0.19666666666666668
-71.22476066,41.95255141,WPP,0.2725
-70.79814166,41.72789933,WPP,0.06
-70.92252609,42.0184717,WPP,0.27
-71.2482622,41.74470234,WPP,1.5266666666666666
-71.2165861,42.06112594,WPP,0.31
-71.03007602,42.08257418,WPP,0.78
-70.97991603,41.90743834,WPP,0.456
-71.2625509,41.84611359,WPP,0.302
-71.03545292,41.98836801,WPP,0.30333333333333334
-70.9831251,41.75570188,WPP,0.02666666666666667
-71.30434109,41.80069261,WPP,1.2866666666666666
-71.05266156,42.01558538,WPP,0.6325
-71.09437763,42.24343046,WPP,0.22
-70.91424154,42.06811651,WPP,0.2575
-71.19253246,41.7773089,WPP,0.13333333333333333
-70.84082513,41.67967123,WPP,0.1825
-71.0981243,41.9093812,WPP,0.13
-71.1361368,42.49511888,WPP,0.62
-70.45336867,41.64357833,WPP,0.14
-70.10477526,41.70289295,WPP,0.215
-71.1737167,41.98949513,WPP,0.6175
-71.0764565,41.64180645,WPP,1.3
-70.85910564,42.2422342,WPP,0.6333333333333333
-70.90942651,41.8814227,WPP,0.028
-70.85635593,41.72740826,WPP,0.2125
-71.22918554,41.8647818,WPP,0.12
-70.75694672,42.08658274,WPP,0.49333333333333335
-71.07757733,41.9325177,WPP,0.278
-71.21344675,42.00502696,WPP,0.49
-70.86206928,42.19947614,WPP,0.6
-70.98602228,41.63338435,WPP,0.165
-70.95386851,41.99746222,WPP,0.92
-71.00963849,42.0754278,WPP,1.1425
-71.17552595,41.94945845,WPP,0.18
-71.32993703,41.83058753,WPP,0.2825
-71.751964,42.706137,WPP,0.05571428571428571
-71.753811,42.664623,WPP,0.09914285714285714
-71.133855,41.562812,WPP,0.154
-71.08528,41.77444,WPP,0.02
-71.70506,42.00792,WPP,0.1457058823529412
-72.66972243,42.71500304,WPP,0.05761538461538462
-72.98439297,42.30007646,WPP,0.16
-72.51950306,42.55286755,WPP,0.022
-72.55536786,42.33802189,WPP,0.45
-72.05643235,42.2526325,WPP,0.12
-72.25680238,42.47216953,WPP,0.034
-72.27160475,42.05933009,WPP,0.12
-72.69990551,42.0373016,WPP,0.926
-72.81803592,42.26076443,WPP,0.03
-72.51860357,42.47653586,WPP,0.128
-72.37351445,42.38732571,WPP,0.072
-72.594205,42.27003392,WPP,0.19
-71.08494839,41.77254787,WPP,0.0384
-70.9964121,42.616929,WPP,0.09
-71.3406697,42.5943564,WPP,0.1318
-71.4776709,42.2247791,WPP,0.246
-71.4584048,42.1049813,WPP,3.4
-71.3444481,42.6718435,WPP,0.276
-71.4854492,42.4276412,WPP,0.19
-70.9615914,42.8659286,WPP,0.044
-71.56727,42.2532139,WPP,0.156
-71.2338344,42.3049376,WPP,2.0575
-70.9915364,42.5790278,WPP,0.094
