dataset,Lat,Long,NO3
DWMWPP,42.36091839,-72.23011415,0.048
DWMWPP,42.02271855,-71.570541360000007,1.1875757575757575
DWMWPP,42.25040334,-72.42653878,0.17400000000000002
DWMWPP,41.92703603,-71.28535834,1.478
DWMWPP,42.27962685,-72.58673039,0.6155555555555555
DWMWPP,42.48792791,-72.21647477,0.02
DWMWPP,42.46843526,-72.25884802,0.02
DWMWPP,42.46258282,-72.24561712,0.02
DWMWPP,42.49092717,-72.17095628,0.12333333333333334
DWMWPP,42.47162474,-72.16210768,0.04999999999999999
DWMWPP,42.43816198,-72.20732375,0.02666666666666666
DWMWPP,42.27317372,-71.9749944,0.068
DWMWPP,42.29088748,-72.33717325,0.02
DWMWPP,42.54690674,-71.62936149,1.1
DWMWPP,42.07983422,-72.56556396,0.622
DWMWPP,42.42257737,-72.76956339,0.08800000000000001
DWMWPP,42.44431744,-72.48987633,0.026
DWMWPP,42.28135393,-72.72939605,0.55
DWMWPP,42.2354613,-72.27899479,0.256
DWMWPP,42.22337829,-72.17965076,0.024
DWMWPP,42.26215141,-72.10659989,0.154
DWMWPP,42.56670939,-71.95196358,0.068
DWMWPP,42.58657345,-71.8162291,0.235
DWMWPP,41.91786565,-71.35216051,0.3
DWMWPP,42.52661784,-71.75691548,0.266
DWMWPP,42.20291112,-71.85617251,0.082
DWMWPP,42.09310671,-71.73709013,0.05
DWMWPP,42.62531983,-72.19502942,0.04
DWMWPP,42.04216137,-72.09714696,0.028
DWMWPP,42.32657968,-71.86537248,0.1
DWMWPP,42.55308278,-71.66947411,0.066
DWMWPP,42.10454751,-71.92879763,0.038
DWMWPP,42.20836571,-71.69757011,0.06
DWMWPP,42.07674201,-72.02541007,0.872
DWMWPP,42.55979904,-71.86605175,0.084
DWMWPP,42.05772637,-72.18751776,0.036
DWMWPP,42.02755221,-71.48301448,0.342
DWMWPP,42.61497981,-72.40184008,0.064
DWMWPP,42.58213165,-71.90260492,0.054
DWMWPP,42.67731084,-71.9407684,0.03
DWMWPP,42.51052037,-71.68941303,0.04
DWMWPP,42.64253866,-72.2573654,0.02
DWMWPP,42.12335485,-72.20669311,0.05
DWMWPP,42.55623608,-72.23102678,0.102
DWMWPP,42.57871152,-71.82995728,0.102
DWMWPP,42.16426655,-71.9488559,0.092
DWMWPP,42.58178925,-72.32696346,0.066
DWMWPP,42.23909491,-71.8258417,0.218
DWMWPP,42.53192718,-71.57910918,0.026
DWMWPP,42.13693403,-72.10313327,0.048
DWMWPP,42.02932229,-71.60542161,0.22
DWMWPP,42.23359373,-71.8557513,0.226
DWMWPP,42.59040888,-71.86334389,0.114
DWMWPP,41.89640012,-71.33321453,0.842
DWMWPP,42.6674075,-72.00414064,0.02
DWMWPP,42.47692289,-71.72378538,0.298
DWMWPP,42.1427144,-71.86184525,0.332
DWMWPP,42.06151141,-72.06454171,0.134
DWMWPP,42.65715091,-72.13290955,0.02
DWMWPP,42.5334948,-71.90277886,0.02
DWMWPP,42.1400961,-71.99849063,0.03
DWMWPP,42.46470593,-72.38454489,0.03608695652173913
DWMWPP,42.25020895,-72.65892694,1.072
DWMWPP,42.03481475,-72.16158627,0.05335
DWMWPP,42.01994053,-71.79434419,0.02
DWMWPP,42.63256876,-72.97439535,0.100875
DWMWPP,42.16782704,-72.94935172,0.04818181818181819
DWMWPP,42.07471082,-71.79151291,0.02
DWMWPP,42.0627483,-72.40559074,0.1442857142857143
DWMWPP,42.38381603,-71.83775116,0.10633333333333334
DWMWPP,42.63595037,-71.30148697,0.7678571428571429
DWMWPP,42.54141177,-72.88420012,0.166
DWMWPP,42.67416852,-72.73352769,0.098
DWMWPP,42.45191218,-73.30161974,0.04
DWMWPP,42.40624326,-72.88766468,0.14600000000000002
DWMWPP,42.23747744,-72.8853956,0.058
DWMWPP,42.59824776,-72.61591962,0.13
DWMWPP,42.25259045,-73.21962782,0.08600000000000001
DWMWPP,42.04759931,-73.01699669,0.174
DWMWPP,42.63919882,-72.93808435,0.1
DWMWPP,42.24776313,-73.28034588,0.04777777777777778
DWMWPP,42.51152705,-72.80105071,0.258
DWMWPP,42.30598204,-73.0114712,0.06
DWMWPP,42.73205357,-72.71945734,0.052
DWMWPP,42.54503215,-73.31275339,0.764
DWMWPP,42.16952122,-72.9736829,0.06
DWMWPP,42.47391986,-73.1412082,0.148
DWMWPP,42.15946034,-73.12792409,0.098
DWMWPP,42.50830194,-72.69870678,0.202
DWMWPP,42.66954163,-73.10371096,0.656
DWMWPP,42.40226973,-72.9795908,0.078
DWMWPP,42.6732761,-72.61264226,0.33799999999999997
DWMWPP,42.09976917,-72.80864416,0.356
DWMWPP,42.70289803,-73.20019809,0.198
DWMWPP,42.27211249,-73.27397995,0.162
DWMWPP,42.11380288,-73.23231291,0.242
DWMWPP,42.66112647,-73.10381096,0.716
DWMWPP,42.55160608,-73.01460875,0.1
DWMWPP,42.26068784,-72.878683,0.024
DWMWPP,42.3820888,-72.81255079,0.034
DWMWPP,42.3572088,-73.35414315,0.14600000000000002
DWMWPP,42.45247321,-72.87827159,0.088
DWMWPP,42.24539082,-73.11391881,0.07
DWMWPP,42.62826823,-72.64485764,0.258
DWMWPP,42.08621595,-72.72793165,1.122
DWMWPP,42.63908097,-72.72437309,0.11
DWMWPP,42.65789498,-73.20166842,0.406
DWMWPP,42.55506751,-72.55825658,0.114
DWMWPP,42.10614,-73.48299,0.16210526315789472
DWMWPP,42.38348515,-73.25737865,0.06
DWMWPP,42.71492884,-72.6693994,0.10058823529411764
DWMWPP,42.32000999,-73.02774999,0.06635294117647059
DWMWPP,42.04638466,-71.6301536,0.1
DWMWPP,42.70347188,-72.95887989,0.09623809523809523
DWMWPP,42.69539254,-72.22718449,0.027
DWMWPP,42.15510819,-72.81341348,0.078
DWMWPP,42.12010243,-72.7334767,0.164
DWMWPP,42.04079295,-72.48489555,0.784
DWMWPP,42.38648751,-73.25940756,0.09466666666666666
DWMWPP,42.62731387,-73.22431951,0.1
DWMWPP,42.00395502,-70.72215618,0.06999999999999999
DWMWPP,41.99860448,-70.73007,0.03
DWMWPP,41.99977266,-70.72579815,0.03
DWMWPP,41.99609561,-70.72311164,0.55
DWMWPP,41.98783357,-70.70786751,0.48
DWMWPP,41.9979183,-70.72218147,0.04
DWMWPP,41.99717794,-70.72120689,0.26
DWMWPP,41.98654008,-70.69885818,0.43
DWMWPP,42.44207131,-72.36869256,0.084
DWMWPP,42.09324205,-72.31183457,0.228
DWMWPP,41.90037801,-71.09399859,0.1616
DWMWPP,41.95255141,-71.22476066,0.2725
DWMWPP,41.72789933,-70.79814166,0.1025
DWMWPP,42.0184717,-70.92252609,0.27
DWMWPP,41.74470234,-71.2482622,1.5266666666666666
DWMWPP,42.06112594,-71.2165861,0.31
DWMWPP,42.08257418,-71.03007602,0.6
DWMWPP,41.90743834,-70.97991603,0.456
DWMWPP,41.84611359,-71.2625509,0.302
DWMWPP,41.98836801,-71.03545292,0.30333333333333334
DWMWPP,41.75570188,-70.9831251,0.02666666666666667
DWMWPP,41.80069261,-71.30434109,1.2866666666666666
DWMWPP,42.01558538,-71.05266156,0.6325
DWMWPP,42.24343046,-71.09437763,0.22
DWMWPP,42.06811651,-70.91424154,0.2575
DWMWPP,41.7773089,-71.19253246,0.13333333333333333
DWMWPP,41.67967123,-70.84082513,0.1825
DWMWPP,41.9093812,-71.0981243,0.13
DWMWPP,42.49511888,-71.1361368,0.62
DWMWPP,41.64357833,-70.45336867,0.14
DWMWPP,41.70289295,-70.10477526,0.1875
DWMWPP,41.98949513,-71.1737167,0.6175
DWMWPP,41.64180645,-71.0764565,1
